Date,02D001_Cl (ppm wt.),02D001_H2S (ppm wt.),02D001_Hydrogen Sulfide (ppm wt.),02D001_pH @25oC,02D001_Sulfide (ppm wt.),02D001_Total Iron (ppm),
17/05/2018,6.94,,,6.87,,,
18/05/2018,6.49,,,6.86,,,
19/05/2018,1,,,6.75,,,
20/05/2018,1,,,6.87,,,
21/05/2018,8.30,,,6.84,,0.72,
22/05/2018,1,,,7.47,,,
23/05/2018,9.86,,,5.54,,0.85,
24/05/2018,9.14,,,7.77,,,
25/05/2018,9.14,,,7.07,,,
26/05/2018,8.81,,,7.02,,,
27/05/2018,10.22,,,7.20,,,
27/05/2018,14.89,,,7.21,,,
28/05/2018,10.12,,,6.93,,0.67,
29/05/2018,10.86,,,6.62,,,
30/05/2018,8.71,,,6.36,,1.10,
31/05/2018,1,,,6.31,,,
1/06/2018,11.04,,,7.06,,,
2/06/2018,1,,,7.17,,,
3/06/2018,6.71,,,6.84,,,
4/06/2018,6.90,,,6.79,,0.71,
5/06/2018,1,,,7.75,,,
6/06/2018,4.00,,,7.68,,0.08,
7/06/2018,7.13,,,7.83,,,
8/06/2018,8.54,,,7.63,,,
9/06/2018,6.71,,,7.21,,,
10/06/2018,3.73,,,7.03,,,
11/06/2018,8.09,,,7.08,,0.26,
12/06/2018,12.79,,,6.84,,,
13/06/2018,6.32,,,7.80,,0.03,
14/06/2018,7.60,,,6.48,,,
15/06/2018,7.09,,,7.00,,,
16/06/2018,8.29,,,7.37,,,
17/06/2018,7.65,,,7.10,,,
18/06/2018,9.11,,,6.99,,0.50,
19/06/2018,8.43,,,6.98,,,
20/06/2018,8.28,,,7.46,,0.09,
21/06/2018,7.91,,,7.26,,,
22/06/2018,9.66,,,7.39,,,
23/06/2018,10.71,,,6.61,,,
24/06/2018,4.15,,,6.79,,,
25/06/2018,6.31,,,6.71,,0.84,
26/06/2018,6.49,,,6.81,,,
27/06/2018,1,,,7.04,,0.13,
28/06/2018,1.08,,,6.97,,,
29/06/2018,8.30,,,7.04,,,
30/06/2018,8.82,,,7.14,,,
1/07/2018,7.88,,,7.22,,,
2/07/2018,8.75,,,7.06,,0.26,
3/07/2018,19.61,,,7.92,,,
3/07/2018,17.21,,,7.96,,,
4/07/2018,9.40,,,7.89,,0.04,
5/07/2018,12.68,,,6.90,,,
6/07/2018,22.36,,,6.71,,,
7/07/2018,10.50,,,7.08,,,
8/07/2018,10.63,,,7.12,,,
9/07/2018,1,,,7.11,,0.29,
10/07/2018,10.94,,,7.17,,,
11/07/2018,11.28,,,6.93,,0.41,
12/07/2018,11.16,,,6.68,,,
13/07/2018,13.56,,,6.56,,,
14/07/2018,15.43,,,6.67,,,
15/07/2018,18.19,,,6.24,,,
15/07/2018,17.44,,,,,,
16/07/2018,22.18,,,6.58,,0.61,
17/07/2018,20.26,,,7.18,,,
17/07/2018,7.98,,,,,,
18/07/2018,6.77,,,7.41,,2.40,
18/07/2018,,,,,,1.66,
19/07/2018,8.45,,,7.08,,,
20/07/2018,7.63,,,7.10,,,
21/07/2018,10.41,,,6.65,,,
22/07/2018,10.30,,,6.69,,,
22/07/2018,7.38,,,6.45,,,
23/07/2018,13.21,,,6.46,,1.44,
24/07/2018,16.29,,,6.65,,,
24/07/2018,7.40,,,6.87,,,
25/07/2018,7.04,,,7.02,,1.73,
26/07/2018,1,,,7.17,,,
27/07/2018,6.57,,,6.54,,,
28/07/2018,10.35,,,7.30,,,
29/07/2018,11.04,,,6.64,,,
30/07/2018,7.43,,,6.89,,0.43,
31/07/2018,7.20,,,6.85,,,
1/08/2018,9.33,,,6.67,,0.73,
2/08/2018,8.12,,,6.76,,,
3/08/2018,8.55,,,7.18,,,
4/08/2018,7.75,,,7.14,,,
5/08/2018,4.03,,,7.07,,,
6/08/2018,8.09,,,6.69,,0.98,
7/08/2018,8.75,,,6.62,,,
8/08/2018,10.50,,,6.49,,0.84,
9/08/2018,8.41,,,7.27,,,
10/08/2018,5.08,,,8.48,,,
