PI-020103.PV_Timestamp_0,"PI-020103.PV
Value","PI-020103.PV
Confidence"
1/10/2018,0.87,100
1/10/2018,0.89,100
1/10/2018,0.88,100
1/10/2018,0.89,100
1/10/2018,0.89,100
1/10/2018,0.89,100
1/10/2018,0.87,100
1/10/2018,0.87,100
1/10/2018,0.87,100
1/10/2018,0.86,100
1/10/2018,0.84,100
1/10/2018,0.84,100
1/10/2018,0.86,100
1/10/2018,0.85,100
1/10/2018,0.84,100
1/10/2018,0.85,100
1/10/2018,0.85,100
1/10/2018,0.84,100
1/11/2018,0.83,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.85,100
1/11/2018,0.85,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.83,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.82,100
1/11/2018,0.82,100
1/11/2018,0.82,100
1/11/2018,0.81,100
1/11/2018,0.81,100
1/11/2018,0.82,100
1/11/2018,0.83,100
1/11/2018,0.85,100
1/11/2018,0.84,100
1/11/2018,0.84,100
1/11/2018,0.83,100
1/12/2018,0.83,100
1/12/2018,0.83,100
1/12/2018,0.84,100
1/12/2018,0.85,100
1/12/2018,0.84,100
1/12/2018,0.83,100
1/12/2018,0.85,100
1/12/2018,0.84,100
1/12/2018,0.84,100
1/12/2018,0.82,100
1/12/2018,0.81,100
1/12/2018,0.78,100
1/12/2018,0.7,100
1/12/2018,0.81,100
1/12/2018,0.96,100
1/12/2018,1.05,100
1/12/2018,1.07,100
1/12/2018,1.07,100
1/12/2018,1.08,100
1/12/2018,1.11,100
1/12/2018,1.09,100
1/12/2018,1.09,100
1/12/2018,1.08,100
1/12/2018,1.08,100
1/13/2018,1.08,100
1/13/2018,1.06,100
1/13/2018,1.1,100
1/13/2018,1.07,100
1/13/2018,1.05,100
1/13/2018,1.05,100
1/13/2018,1.08,100
1/13/2018,1.1,100
1/13/2018,1.11,100
1/13/2018,1.11,100
1/13/2018,1.11,100
1/13/2018,1.11,100
1/13/2018,1.11,100
1/13/2018,1.1,100
1/13/2018,1.11,100
1/13/2018,1.09,100
1/13/2018,1.09,100
1/13/2018,1.1,100
1/13/2018,1.09,100
1/13/2018,1.07,100
1/13/2018,1.07,100
1/13/2018,1.09,100
1/13/2018,1.09,100
1/13/2018,1.08,100
1/14/2018,1.08,100
1/14/2018,1.09,100
1/14/2018,1.14,100
1/14/2018,1.12,100
1/14/2018,1.07,100
1/14/2018,1.06,100
1/14/2018,1.07,100
1/14/2018,1.07,100
1/14/2018,1.07,100
1/14/2018,1.09,100
1/14/2018,1.09,100
1/14/2018,1.1,100
1/14/2018,1.11,100
1/14/2018,1.11,100
1/14/2018,1.11,100
1/14/2018,1.11,100
1/14/2018,1.11,100
1/14/2018,1.11,100
1/14/2018,1.1,100
1/14/2018,1.12,100
1/14/2018,1.12,100
1/14/2018,1.12,100
1/14/2018,1.12,100
1/14/2018,1.11,100
1/15/2018,1.1,100
1/15/2018,1.09,100
1/15/2018,1.09,100
1/15/2018,1.11,100
1/15/2018,1.11,100
1/15/2018,1.08,100
1/15/2018,1.08,100
1/15/2018,1.09,100
1/15/2018,1.08,100
1/15/2018,1.08,100
1/15/2018,1.08,100
1/15/2018,1.07,100
1/15/2018,1.1,100
1/15/2018,1.13,100
1/15/2018,1.14,100
1/15/2018,1.15,100
1/15/2018,1.12,100
1/15/2018,1.11,100
1/15/2018,1.11,100
1/15/2018,1.12,100
1/15/2018,1.12,100
1/15/2018,1.1,100
1/15/2018,1.09,100
1/15/2018,1.1,100
1/16/2018,1.09,100
1/16/2018,1.1,100
1/16/2018,1.09,100
1/16/2018,1.09,100
1/16/2018,1.09,100
1/16/2018,1.11,100
1/16/2018,1.11,100
1/16/2018,1.11,100
1/16/2018,1.11,100
1/16/2018,1.1,100
1/16/2018,1.1,100
1/16/2018,1.1,100
1/16/2018,1.13,100
1/16/2018,1.13,100
1/16/2018,1.14,100
1/16/2018,1.14,100
1/16/2018,1.13,100
1/16/2018,1.12,100
1/16/2018,1.08,100
1/16/2018,1.08,100
1/16/2018,1.1,100
1/16/2018,1.11,100
1/16/2018,1.11,100
1/16/2018,1.11,100
1/17/2018,1.09,100
1/17/2018,1.09,100
1/17/2018,1.09,100
1/17/2018,1.09,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.11,100
1/17/2018,1.11,100
1/17/2018,1.1,100
1/17/2018,1.09,100
1/17/2018,1.08,100
1/17/2018,1.07,100
1/17/2018,1.09,100
1/17/2018,1.09,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.1,100
1/17/2018,1.11,100
1/18/2018,1.11,100
1/18/2018,1.12,100
1/18/2018,1.12,100
1/18/2018,1.11,100
1/18/2018,1.1,100
1/18/2018,1.1,100
1/18/2018,1.09,100
1/18/2018,1.1,100
1/18/2018,1.11,100
1/18/2018,1.11,100
1/18/2018,1.1,100
1/18/2018,1.12,100
1/18/2018,1.15,100
1/18/2018,1.15,100
1/18/2018,1.13,100
1/18/2018,1.13,100
1/18/2018,1.09,100
1/18/2018,1.04,100
1/18/2018,1.03,100
1/18/2018,1.08,100
1/18/2018,1.09,100
1/18/2018,1.09,100
1/18/2018,1.09,100
1/18/2018,1.09,100
1/19/2018,1.09,100
1/19/2018,1.08,100
1/19/2018,1.08,100
1/19/2018,1.09,100
1/19/2018,1.09,100
1/19/2018,1.08,100
1/19/2018,1.08,100
1/19/2018,1.07,100
1/19/2018,1.08,100
1/19/2018,1.1,100
1/19/2018,1.08,100
1/19/2018,1.12,100
1/19/2018,1.12,100
1/19/2018,1.1,100
1/19/2018,1.06,100
1/19/2018,1.08,100
1/19/2018,1.07,100
1/19/2018,1.06,100
1/19/2018,1.06,100
1/19/2018,1.11,100
1/19/2018,1.11,100
1/19/2018,1.1,100
1/19/2018,1.1,100
1/19/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.1,100
1/20/2018,1.1,100
1/20/2018,1.1,100
1/20/2018,1.1,100
1/20/2018,1.11,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.12,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.09,100
1/20/2018,1.08,100
1/20/2018,1.08,100
1/20/2018,1.09,100
1/20/2018,1.1,100
1/20/2018,1.11,100
1/20/2018,1.08,100
1/20/2018,1.09,100
1/20/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.09,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.09,100
1/21/2018,1.09,100
1/21/2018,1.08,100
1/21/2018,1.09,100
1/21/2018,1.09,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.09,100
1/21/2018,1.09,100
1/21/2018,1.08,100
1/21/2018,1.07,100
1/21/2018,1.08,100
1/21/2018,1.08,100
1/21/2018,1.07,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.07,100
1/22/2018,1.07,100
1/22/2018,1.09,100
1/22/2018,1.1,100
1/22/2018,1.08,100
1/22/2018,1.07,100
1/22/2018,1.08,100
1/22/2018,1.07,100
1/22/2018,1.07,100
1/22/2018,1.07,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.07,100
1/22/2018,1.07,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.08,100
1/22/2018,1.06,100
1/22/2018,0.95,100
1/22/2018,0.92,100
1/23/2018,0.96,100
1/23/2018,0.96,100
1/23/2018,0.94,100
1/23/2018,0.97,100
1/23/2018,0.97,100
1/23/2018,0.97,100
1/23/2018,0.96,100
1/23/2018,0.97,100
1/23/2018,0.97,100
1/23/2018,0.98,100
1/23/2018,0.99,100
1/23/2018,0.98,100
1/23/2018,0.97,100
1/23/2018,0.97,100
1/23/2018,0.97,100
1/23/2018,0.98,100
1/23/2018,0.99,100
1/23/2018,1,100
1/23/2018,0.99,100
1/23/2018,0.99,100
1/23/2018,1,100
1/23/2018,1,100
1/23/2018,1.01,100
1/23/2018,1,100
1/24/2018,1.01,100
1/24/2018,1,100
1/24/2018,1,100
1/24/2018,1,100
1/24/2018,1.01,100
1/24/2018,1,100
1/24/2018,1,100
1/24/2018,1,100
1/24/2018,1,100
1/24/2018,1.01,100
1/24/2018,1.01,100
1/24/2018,1,100
1/24/2018,1.01,100
1/24/2018,1,100
1/24/2018,0.99,100
1/24/2018,0.98,100
1/24/2018,0.99,100
1/24/2018,0.99,100
1/24/2018,0.98,100
1/24/2018,0.99,100
1/24/2018,0.99,100
1/24/2018,0.99,100
1/24/2018,0.98,100
1/24/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.99,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.99,100
1/25/2018,0.99,100
1/25/2018,0.99,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/25/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.98,100
1/26/2018,0.97,100
1/26/2018,0.98,100
1/26/2018,0.97,100
1/26/2018,0.99,100
1/26/2018,0.98,100
1/26/2018,1,100
1/26/2018,0.99,100
1/26/2018,1,100
1/26/2018,0.99,100
1/26/2018,1,100
1/26/2018,0.99,100
1/26/2018,0.99,100
1/26/2018,1.01,100
1/26/2018,1.04,100
