Date,02D002_Cl (ppm wt.),02D002_H2S (ppm wt.),02D002_pH @25oC,02D002_Sulfide (ppm wt.),,,,,,,,,
30/4/19,1.80,,7.30,,,,,,,,,,
2/5/19,1,,5.45,,,,,,,,,,
7/5/19,2.76,,5.64,,,,,,,,,,
9/5/19,13.77,,5.92,,,,,,,,,,
9/5/19,,,,,,,,,,,,,
14/5/19,1.49,,6.00,,,,,,,,,,
16/5/19,2.06,,7.45,,,,,,,,,,
21/5/19,1.71,,6.02,,,,,,,,,,
23/5/19,1.73,,5.80,,,,,,,,,,
28/5/19,1.24,,6.30,,,,,,,,,,
30/5/19,1,,7.03,,,,,,,,,,
4/6/19,1,,6.24,,,,,,,,,,
6/6/19,1,,7.15,,,,,,,,,,
11/6/19,1,,4.85,,,,,,,,,,
13/6/19,1,,5.23,,,,,,,,,,
18/6/19,1.92,,6.55,,,,,,,,,,
20/6/19,1,,7.45,,,,,,,,,,
25/6/19,1,,6.57,,,,,,,,,,
27/6/19,1,,7.48,,,,,,,,,,
2/7/19,1,,5.73,,,,,,,,,,
4/7/19,1,,6.49,,,,,,,,,,
9/7/19,1.46,,5.02,,,,,,,,,,
11/7/19,2.72,,5.74,,,,,,,,,,
16/7/19,1,,6.99,,,,,,,,,,
18/7/19,1,,5.06,,,,,,,,,,
23/7/19,1,,6.55,,,,,,,,,,
25/7/19,3.08,,7.44,,,,,,,,,,
30/7/19,1,,7.14,,,,,,,,,,
1/8/19,1,,6.85,,,,,,,,,,
6/8/19,1,,7.09,,,,,,,,,,
27/8/19,1,,5.72,,,,,,,,,,
29/8/19,1,,7.49,,,,,,,,,,
3/9/19,1,,6.49,,,,,,,,,,
5/9/19,1,,5.55,,,,,,,,,,
10/9/19,1,,6.61,,,,,,,,,,
12/9/19,1,,6.59,,,,,,,,,,
17/9/19,1,,6.64,,,,,,,,,,
19/9/19,1,,5.80,,,,,,,,,,
24/9/19,1.11,,6.98,,,,,,,,,,
26/9/19,1,,6.13,,,,,,,,,,
1/10/19,1,,7.06,,,,,,,,,,
3/10/19,1,,6.77,,,,,,,,,,
8/10/19,1,,6.64,,,,,,,,,,
10/10/19,1,,6.40,,,,,,,,,,
15/10/19,1,,6.53,,,,,,,,,,
17/10/19,1,,7.38,,,,,,,,,,
22/10/19,1,,7.26,,,,,,,,,,
24/10/19,1,,7.47,,,,,,,,,,
29/10/19,1,,7.41,,,,,,,,,,
31/10/19,1,,7.01,,,,,,,,,,
5/11/19,1,,6.15,,,,,,,,,,
7/11/19,1,,7.11,,,,,,,,,,
14/11/19,1,,6.96,,,,,,,,,,
19/11/19,1,,7.27,,,,,,,,,,
21/11/19,1,,5.28,,,,,,,,,,
26/11/19,1,,7.18,,,,,,,,,,
28/11/19,1,,7.20,,,,,,,,,,
3/12/19,6.91,,7.15,,,,,,,,,,
10/12/19,1,,7.05,,,,,,,,,,
12/12/19,1,,6.55,,,,,,,,,,
17/12/19,1,,6.01,,,,,,,,,,
19/12/19,7.74,,6.24,,,,,,,,,,
24/12/19,1,,5.98,,,,,,,,,,
26/12/19,1,,5.94,,,,,,,,,,
2/1/20,1,,6.24,,,,,,,,,,
7/1/20,1,,6.52,,,,,,,,,,
9/1/20,1,,5.85,,,,,,,,,,
14/1/20,1,,6.84,,,,,,,,,,
16/1/20,1,,7.16,,,,,,,,,,
21/1/20,1,,6.29,,,,,,,,,,
23/1/20,1,,6.70,,,,,,,,,,
28/1/20,1,,6.50,,,,,,,,,,
30/1/20,1,,5.12,,,,,,,,,,
4/2/20,1,,5.11,,,,,,,,,,
6/2/20,1,,6.85,,,,,,,,,,
11/2/20,1,,6.39,,,,,,,,,,
13/2/20,1,,6.58,,,,,,,,,,
18/2/20,1,,6.79,,,,,,,,,,
20/2/20,1.41,,5.17,,,,,,,,,,
25/2/20,1,,6.28,,,,,,,,,,
27/2/20,1,,6.49,,,,,,,,,,
3/3/20,1,,6.55,,,,,,,,,,
5/3/20,8.53,,6.89,,,,,,,,,,
10/3/20,1,,5.87,,,,,,,,,,
12/3/20,1,,7.31,,,,,,,,,,
17/3/20,1.14,,7.66,,,,,,,,,,
19/3/20,1,,4.55,,,,,,,,,,
24/3/20,1.49,,6.58,,,,,,,,,,
26/3/20,1.43,,4.21,,,,,,,,,,
31/3/20,1,,7.08,,,,,,,,,,
2/4/20,1,,6.63,,,,,,,,,,
7/4/20,2.59,,6.99,,,,,,,,,,
9/4/20,1,,7.22,,,,,,,,,,
14/4/20,1,,7.03,,,,,,,,,,
16/4/20,1,,6.54,,,,,,,,,,
21/4/20,1,,6.48,,,,,,,,,,
23/4/20,1,,6.95,,,,,,,,,,
28/4/20,1,,6.22,,,,,,,,,,
30/4/20,1,,5.65,,,,,,,,,,
5/5/20,1,,8.21,,,,,,,,,,
7/5/20,1,,6.92,,,,,,,,,,
12/5/20,1,,6.34,,,,,,,,,,
14/5/20,1,,6.36,,,,,,,,,,
19/5/20,1,,4.39,,,,,,,,,,
21/5/20,1,,5.43,,,,,,,,,,
26/5/20,1,,5.64,,,,,,,,,,
28/5/20,1,,6.03,,,,,,,,,,
2/6/20,1,,6.41,,,,,,,,,,
4/6/20,1,,7.30,,,,,,,,,,
