Date,02D001_Cl,02D001_H2S,02D001_Hydrogen Sulfide,02D001_pH,02D001_Sulfide,02D001_Total_Iron
30/04/2018,1,0,0,7.62,0,0.72
1/5/2018,5.89,0,0,6.69,0,0
2/5/2018,6.79,0,0,7.31,0,0.18
3/5/2018,5.31,0,0,7.08,0,0
4/5/2018,1,0,0,6.18,0,0
5/5/2018,1,0,0,6.12,0,0
6/5/2018,6.65,0,0,7.74,0,0
7/5/2018,1,0,0,7.95,0,0.07
8/5/2018,1,0,0,7.39,0,0
9/5/2018,1,0,0,7.67,0,0.1
10/5/2018,1,0,0,8.16,0,0
11/5/2018,1,0,0,7.81,0,0
12/5/2018,7.15,0,0,7.3,0,0
13/05/2018,5.15,0,0,7.1,0,0
14/05/2018,8.8,0,0,7.14,0,0.36
15/05/2018,1,0,0,7.19,0,0
16/05/2018,6.41,0,0,7.05,0,0.37
17/05/2018,6.94,0,0,6.87,0,0
18/05/2018,6.49,0,0,6.86,0,0
19/05/2018,1,0,0,6.75,0,0
20/05/2018,1,0,0,6.87,0,0
21/05/2018,8.3,0,0,6.84,0,0.72
22/05/2018,1,0,0,7.47,0,0
23/05/2018,9.86,0,0,5.54,0,0.85
24/05/2018,9.14,0,0,7.77,0,0
25/05/2018,9.14,0,0,7.07,0,0
26/05/2018,8.81,0,0,7.02,0,0
27/05/2018,10.22,0,0,7.2,0,0
27/05/2018,14.89,0,0,7.21,0,0
28/05/2018,10.12,0,0,6.93,0,0.67
29/05/2018,10.86,0,0,6.62,0,0
30/05/2018,8.71,0,0,6.36,0,1.1
31/05/2018,1,0,0,6.31,0,0
1/6/2018,11.04,0,0,7.06,0,0
2/6/2018,1,0,0,7.17,0,0
3/6/2018,6.71,0,0,6.84,0,0
4/6/2018,6.9,0,0,6.79,0,0.71
5/6/2018,1,0,0,7.75,0,0
6/6/2018,4,0,0,7.68,0,0.08
7/6/2018,7.13,0,0,7.83,0,0
8/6/2018,8.54,0,0,7.63,0,0
9/6/2018,6.71,0,0,7.21,0,0
10/6/2018,3.73,0,0,7.03,0,0
11/6/2018,8.09,0,0,7.08,0,0.26
12/6/2018,12.79,0,0,6.84,0,0
13/06/2018,6.32,0,0,7.8,0,0.03
14/06/2018,7.6,0,0,6.48,0,0
15/06/2018,7.09,0,0,7,0,0
